company,category
NexJ Systems,Software Company
Pax Cultura Studios,Internet Company
SI Systems,Computer Repair Service
Astra-North Infoteck Inc.,
EY,Author
BlueRock Therapeutics,Biotechnology Company
Michael Page International,Local Business
Apotex,Pharmaceutical Company
Canadian Tire: Corporate,Local Business
Centre for Global eHealth Innovation,Medical & Health
Tundra Technical Solutions,Professional Service
IBM,Business Service
Flipp,App Page
Peak Power Inc,Solar Energy Service
Hubba,Journalist
exp,TV Network
TD Bank,Finance Company
First Derivatives,Financial Service
WilsonCTS Canada,
Pipe Canada,Home Improvement
Hill Top/Cliantha Research,
Sunnybrook Health Sciences Centre,Hospital
Morgan Solar Inc.,Solar Energy Service
Ed & Oliver Partners Ltd.,Musician/Band
"AMZN CAN Fulfillment Svcs, Inc",
Maxxam Analytics,Medical Lab
Institute for Clinical Evaluative Sciences ('ICES'...,Public & Government Service
BenchSci,Technology Company
AB Sciex Pte,Local Business
McCain Foods (Canada),Food & Beverage Company
AGAT Laboratories,Local Business
McKinsey & Company,Business Consultant
Drop,App Page
BMO Financial Group,Landmark & Historical Place
Cancer Care Ontario,Government Organization
Google,Restaurant
Sensibill Inc.,
Rubikloud Technologies Inc.,Business Service
APEX,Athlete
Myant,Telecommunication Company
Angoss,Internet Company
Griffith Foods,Foodservice Distributor
PwC,Accountant
ROSS Recruitment,Recruiter
LoyaltyOne,Business Consultant
Univeris Corp,Computer Repair Service
TechPoint Staffing,
Walmart Canada,Retail Company
Quantfury Ltd,
Brainwerx Group Inc.,
Centre for Addiction and Mental Health,Hospital
Roche,City
Nuclear Waste Management Organization (NWMO),"Science, Technology & Engineering"
Shorewise Consulting,
Shared Vision Management Search,Sunglasses & Eyewear Store
Equifax,Product/Service
407 ETR,Financial Service
IQ PARTNERS Inc.,Recruiter
SLR Consulting (Canada) Ltd,Engineering Service
Si System,Computer Repair Service
Ontario Genomics,Education
Manulife Financial,Commercial Real Estate Agency
HomeStars,Product/Service
Deep Genomics,Biotechnology Company
ICF,Organization
SNC-Lavalin,Engineering Service
Maple Leaf Sports & Entertainment,"Stadium, Arena & Sports Venue"
Lock Search Group,Employment Agency
The Nielsen Company,Interest
Serene Sensors Inc.,
Creative Niche,Recruiter
GEM Staffing and Consulting Inc.,
Pandion Search Partners,
Grant Thornton,Accountant
Allstate Canada,Insurance Company
Zenith System Solutions,Computer Company
Women's College Hospital,Hospital
J&M Group of Companies,Region
Multi-Health Systems Inc.,Medical Company
Jobspring Partners,Consulting Agency
Figure1,App Page
"IRIS Software, Inc.",Software
Toronto Research Chemicals Inc.,Chemical Company
ADP,Financial Service
Aimia,Organization
Longo's,Shopping & Retail
Thomson Reuters,Financial Service
KPMG LLP,Interest
Bell,Health/Beauty
EQ Works,Internet Company
Precima,Consulting Agency
Dillon Consulting,Addiction Resources Center
TELUS Communications,Electronics Store
Unata Inc.,Electronics Store
Dynacare,Medical Lab
Ontario Institute for Cancer Research,Medical & Health
University Health Network,Hospital
FOUND PEOPLE INC.,Consulting Agency
Talentcor,Recruiter
Exact Technology Corporation,
500px,Company
ISG Search,Business Service
EquitySim,Business & Economy Website
WSP,Broadcasting & Media Production Company
Angoss Software,Interest
Canadian Tire,Company
MedReleaf Corp.,
Silver Recruitment,Company
Tucows,Product/Service
Reizt Inc.,Company
Think Outside the Valley,Computer Company
Career Connections Inc.,Employment Agency
Microsoft,Company
Cray,Author
Veritaaq,Consulting Agency
isgSearch Inc.,Transportation Service
WatrHub Inc.,Information Technology Company
Kinectrics Inc.,Energy Company
Element AI,Computer Company
Samsung Research America,Computer Company
Ian Martin Group,Recruiter
Energy Profiles Limited,Energy Company
RBC,Finance Company
Iris Software,Software Company
Eddy Home,Retail Company
BuzzFeed,Media/News Company
OCAD University,Art School
Casalova.com,Technology Company
SickKids,Nonprofit Organization
GuruLink,Recruiter
in-sync,Nonprofit Organization
Alpha Employment Solutions,Employment Agency
Golder Associates,Consulting Agency
Baycrest,Hospital
EnviroSen Inc,
T&J consulting company,Region
Adlib Software,Software Company
Scotiabank,Finance Company
TalentSphere Staffing Solutions,Employment Agency
Dignitas International,Non-Governmental Organization (NGO)
SCIEX,Biotechnology Company
Amec Foster Wheeler,Engineering Service
Institute for Clinical Evaluative Sciences,Public & Government Service
Wish,App Page
Deloitte,Accountant
Xaxis,Business Service
Klohn Crippen Berger,Engineering Service
PerkinElmer,Company
Aegis Design Inc.,Business Service
